                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.51292,                0.56885,                0.88577,                0.99641,                      1,                0.99396,                0.92395,                0.37713,                0.29915,                0.80648,             0.00046699,             0.00046699,             0.00046699
                      2,                0.51352,                0.49726,                0.87462,                0.98539,                0.99851,                0.99142,                0.90877,                 0.4083,                0.34768,                0.81356,             0.00089663,             0.00089663,             0.00089663
                      3,                0.52255,                0.49301,                0.87745,                0.99323,                0.99849,                0.99446,                0.90962,                0.42068,                0.33677,                0.81307,              0.0012791,              0.0012791,              0.0012791
                      4,                0.53187,                0.48891,                0.88261,                0.99393,                0.99748,                0.99296,                0.91007,                0.40251,                0.32296,                0.80784,              0.0012168,              0.0012168,              0.0012168
                      5,                  0.529,                0.47706,                0.87838,                0.99542,                0.99657,                0.99436,                0.91653,                0.40287,                0.32809,                0.81281,              0.0011461,              0.0011461,              0.0011461
                      6,                 0.5085,                0.43658,                0.87788,                 0.9964,                0.99992,                0.99227,                0.91657,                0.40113,                0.31019,                0.80823,              0.0010753,              0.0010753,              0.0010753
                      7,                0.50976,                 0.4296,                0.87525,                0.99564,                0.99949,                 0.9944,                0.92096,                0.38506,                0.29948,                0.80542,              0.0010046,              0.0010046,              0.0010046
                      8,                0.49599,                0.41832,                0.87029,                0.99623,                      1,                 0.9938,                0.92424,                0.38604,                0.28989,                0.80451,             0.00093385,             0.00093385,             0.00093385
                      9,                0.47561,                0.40274,                0.86698,                 0.9956,                      1,                0.99224,                0.92138,                0.37875,                0.27731,                0.80603,             0.00086312,             0.00086312,             0.00086312
                     10,                0.47943,                0.38969,                0.86315,                0.99621,                      1,                0.99289,                0.92418,                0.37616,                0.28163,                0.80589,             0.00079238,             0.00079238,             0.00079238
                     11,                0.41735,                0.31888,                0.81009,                0.99427,                      1,                 0.9934,                0.92241,                0.38407,                0.28158,                  0.805,             0.00072164,             0.00072164,             0.00072164
                     12,                0.41001,                0.31355,                0.80893,                0.99621,                      1,                0.99401,                0.92788,                0.37524,                0.27638,                0.80566,             0.00065091,             0.00065091,             0.00065091
                     13,                0.40131,                0.30041,                 0.8091,                 0.9964,                      1,                0.99346,                0.93432,                0.36437,                0.26007,                0.80196,             0.00058017,             0.00058017,             0.00058017
                     14,                0.39318,                0.29435,                0.80675,                0.99643,                      1,                0.99331,                0.93375,                0.36314,                0.26035,                0.80077,             0.00050944,             0.00050944,             0.00050944
                     15,                0.38708,                0.27629,                0.81011,                0.99598,                      1,                0.99415,                0.93782,                0.35286,                0.24929,                0.79868,              0.0004387,              0.0004387,              0.0004387
                     16,                0.38155,                0.26927,                 0.8058,                 0.9963,                      1,                0.99455,                0.93745,                  0.352,                0.24543,                0.80031,             0.00036797,             0.00036797,             0.00036797
                     17,                0.37657,                0.26376,                0.80444,                0.99637,                      1,                0.99452,                0.93919,                0.34183,                0.23703,                0.79637,             0.00029723,             0.00029723,             0.00029723
                     18,                0.37241,                0.25816,                0.80297,                0.99652,                      1,                 0.9928,                0.94275,                0.34116,                0.23022,                0.79651,              0.0002265,              0.0002265,              0.0002265
                     19,                0.36556,                0.25027,                0.79782,                0.99632,                      1,                0.99387,                0.94824,                0.33325,                0.22216,                 0.7949,             0.00015576,             0.00015576,             0.00015576
                     20,                0.36037,                0.24015,                 0.8019,                0.99641,                      1,                0.99409,                0.94925,                0.33088,                 0.2164,                0.79431,             8.5026e-05,             8.5026e-05,             8.5026e-05
